id,name,protein_type,primary_carb,primary_veggie,cook_method,tier,prep_time_min,target_life_stage,user_prompt,overview,ingredient_count,instruction_count,image_url
beef_heart_lentils_bok_choy,Beef Heart & Lentils with Bok Choy,beef,lentils,bok_choy,stovetop,T2,35,adult,Create a T2 stovetop recipe using Beef heart with Lentils (green or brown) and Bok choy. Target life stage: adult. Prep under 35 minutes.,"Beef heart is a lean, affordable muscle meat rich in iron, copper, CoQ10, and B-vitamins. Lentils are the highest-fiber, highest-iron legume. Bok choy adds calcium and vitamin K. A nutrient-dense powerhouse for minimal cost.",6,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/beef_heart_lentils_bok_choy.png
chicken_pumpkin_green_beans,Ground Chicken & Pumpkin with Green Beans,chicken,pumpkin,green_beans,stovetop,T1,20,adult,"Create a T1 stovetop recipe using Ground chicken, Chicken liver with Pumpkin puree (canned, plain) and Green beans. Target life stage: adult. Prep under 20 minutes.","A gentle, easy-to-digest meal. Pumpkin puree is excellent for digestive regularity and provides massive vitamin A. Ground chicken is moderate in fat with decent zinc. Green beans add fiber and vitamin K. Great for dogs with sensitive stomachs.",8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/chicken_pumpkin_green_beans.png
pork_shoulder_sweet_potato_broccoli,Pork Shoulder & Sweet Potato with Broccoli,pork,sweet_potato,broccoli,stovetop,T1,35,adult,"Create a T1 stovetop recipe using Pork shoulder/butt, Beef liver with Sweet potato and Broccoli. Target life stage: adult. Prep under 35 minutes.","Pork shoulder is fattier than loin, making it a good higher-calorie option for active or underweight dogs. Sweet potato and broccoli together cover vitamin A, vitamin K, vitamin E, and fiber. Rich, hearty, and satisfying.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/pork_shoulder_sweet_potato_broccoli.png
mackerel_quinoa_kale,Mackerel & Quinoa with Kale,fish,quinoa,kale,stovetop,T1,20,adult,"Create a T1 stovetop recipe using Mackerel, canned (jack), Chicken liver with Quinoa and Kale. Target life stage: adult. Prep under 20 minutes.",Canned mackerel delivers the highest omega-3 and vitamin D content of any common canned fish. Quinoa provides complete plant protein plus manganese and magnesium. Kale adds exceptional vitamin K and calcium. A nutrient-dense fish day.,7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/mackerel_quinoa_kale.png
bison_sweet_potato_kale,Bison & Sweet Potato with Kale,bison,sweet_potato,kale,stovetop,T2,30,adult,"Create a T2 stovetop recipe using Ground bison, Beef liver with Sweet potato and Kale. Target life stage: adult. Prep under 30 minutes.",Bison is leaner than beef with excellent zinc and iron. Sweet potato brings vitamin A and potassium. Kale provides exceptional vitamin K and calcium. A nutrient-dense red meat option for variety.,7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/bison_sweet_potato_kale.png
venison_brown_rice_spinach,Venison & Brown Rice with Spinach,venison,brown_rice,spinach,stovetop,T2,35,adult,"Create a T2 stovetop recipe using Ground venison, Beef liver with Brown rice and Spinach. Target life stage: adult. Prep under 35 minutes.","Venison is one of the leanest red meats available with outstanding iron and zinc. Brown rice adds manganese and steady-release carbs. Spinach contributes iron, magnesium, and vitamin K. An excellent option for dogs needing novel proteins.",8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/venison_brown_rice_spinach.png
cod_white_rice_carrots,Cod & White Rice with Carrots,fish,white_rice,carrots,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Cod, fresh, Chicken liver with White rice and Carrots. Target life stage: adult. Prep under 25 minutes.","Cod is an ultra-lean white fish rich in selenium, phosphorus, and vitamin D. White rice is the most digestible grain. Carrots provide beta-carotene and gentle fiber. An excellent bland-diet option that's still nutritionally complete.",8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/cod_white_rice_carrots.png
rabbit_oatmeal_green_beans,Rabbit & Oatmeal with Green Beans,rabbit,oatmeal,green_beans,stovetop,T2,30,adult,"Create a T2 stovetop recipe using Rabbit, Beef liver with Oatmeal and Green beans. Target life stage: adult. Prep under 30 minutes.","Rabbit is an excellent novel protein — very lean, high in B12, and rarely encountered in commercial foods, making it ideal for elimination diets. Oatmeal provides soluble fiber and manganese. Green beans add vitamin K and potassium.",8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/rabbit_oatmeal_green_beans.png
beef_chuck_barley_broccoli,Beef Chuck & Barley with Broccoli,beef,barley,broccoli,stovetop,T1,40,adult,"Create a T1 stovetop recipe using Beef chuck roast, Beef liver with Barley (pearled) and Broccoli. Target life stage: adult. Prep under 40 minutes.","Beef chuck is a fattier, more flavorful cut rich in zinc and iron. Barley provides the highest fiber of any common grain. Broccoli delivers vitamin K, vitamin E, and manganese. A hearty, satisfying meal for cooler weather.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/beef_chuck_barley_broccoli.png
chicken_thigh_lentils_spinach,Chicken Thigh & Lentils with Spinach,chicken,lentils,spinach,stovetop,T1,30,adult,"Create a T1 stovetop recipe using Chicken thigh, boneless, Chicken liver with Lentils (green or brown) and Spinach. Target life stage: adult. Prep under 30 minutes.","Lentils paired with chicken thigh create a high-fiber, high-protein meal. Lentils are among the best plant-based sources of iron, potassium, and manganese. Spinach doubles down on iron and adds vitamin K and magnesium.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/chicken_thigh_lentils_spinach.png
turkey_sweet_potato_bok_choy,Turkey & Sweet Potato with Bok Choy,turkey,sweet_potato,bok_choy,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Ground turkey, 93% lean, Beef liver with Sweet potato and Bok choy. Target life stage: adult. Prep under 25 minutes.","A lighter Asian-inspired combination. Bok choy is an excellent calcium and vitamin K source with a mild flavor dogs enjoy. Turkey and sweet potato form a lean, digestible base. Beef liver provides the copper and vitamin A that turkey lacks.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/turkey_sweet_potato_bok_choy.png
pork_loin_quinoa_peas,Pork Loin & Quinoa with Peas,pork,quinoa,peas,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Pork loin, Chicken liver with Quinoa and Peas. Target life stage: adult. Prep under 25 minutes.","Lean pork with quinoa creates a complete amino acid profile. Peas contribute fiber, manganese, and plant-based protein. A clean, efficient recipe with excellent B-vitamin coverage from both pork and chicken liver.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/pork_loin_quinoa_peas.png
fresh_salmon_white_potato_zucchini,Fresh Salmon & White Potato with Zucchini,fish,white_potato,zucchini,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Salmon, fresh, Chicken liver with White potato and Zucchini. Target life stage: adult. Prep under 25 minutes.","Fresh salmon delivers premium omega-3 EPA+DHA and vitamin D in higher concentrations than canned. White potato is gentle on digestion. Zucchini adds potassium with very low caloric density. A light, nutrient-dense fish meal.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/fresh_salmon_white_potato_zucchini.png
lamb_oatmeal_kale,Lamb & Oatmeal with Kale,lamb,oatmeal,kale,stovetop,T1,30,adult,"Create a T1 stovetop recipe using Ground lamb, Beef liver with Oatmeal and Kale. Target life stage: adult. Prep under 30 minutes.","Lamb's richer fat profile pairs well with hearty oatmeal. Kale provides a massive vitamin K boost plus calcium and manganese. A warming, mineral-rich meal that most dogs find highly palatable.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/lamb_oatmeal_kale.png
tilapia_brown_rice_carrots,Tilapia & Brown Rice with Carrots,fish,brown_rice,carrots,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Tilapia, fresh, Chicken liver with Brown rice and Carrots. Target life stage: adult. Prep under 25 minutes.",Tilapia is the most affordable and widely available white fish. It's very lean with good vitamin D content. Brown rice adds manganese. Carrots provide vitamin A and gentle fiber. Budget-friendly fish day.,8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/tilapia_brown_rice_carrots.png
beef_90_quinoa_brussels,Lean Beef & Quinoa with Brussels Sprouts,beef,quinoa,brussels_sprouts,stovetop,T1,25,adult,"Create a T1 stovetop recipe using Ground beef, 90% lean, Beef liver with Quinoa and Brussels sprouts. Target life stage: adult. Prep under 25 minutes.","Lean ground beef with quinoa creates a protein-rich, mineral-dense base. Brussels sprouts contribute exceptional vitamin K and fiber. A well-rounded recipe with broad micronutrient coverage.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/beef_90_quinoa_brussels.png
bison_white_potato_green_beans,Bison & White Potato with Green Beans,bison,white_potato,green_beans,stovetop,T2,30,adult,"Create a T2 stovetop recipe using Ground bison, Chicken liver with White potato and Green beans. Target life stage: adult. Prep under 30 minutes.","Another bison option using the more digestible white potato. Green beans keep it light with gentle fiber and vitamin K. A simpler, more accessible recipe for dogs who do well on novel proteins.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/bison_white_potato_green_beans.png
chicken_breast_barley_carrots_broccoli,Chicken Breast & Barley with Carrots & Broccoli,chicken,barley,carrots_and_broccoli,stovetop,T1,35,adult,"Create a T1 stovetop recipe using Chicken breast, boneless, Chicken liver with Barley (pearled) and Carrots. Target life stage: adult. Prep under 35 minutes.","A lean, high-fiber meal combining chicken breast with barley's soluble fiber. Two vegetables — carrots for vitamin A and broccoli for vitamin K/E — provide broad coverage. Ideal for weight management.",9,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/chicken_breast_barley_carrots_broccoli.png
beef_heart_sweet_potato_spinach,Beef Heart & Sweet Potato with Spinach,beef,sweet_potato,spinach,stovetop,T2,30,adult,Create a T2 stovetop recipe using Beef heart with Sweet potato and Spinach. Target life stage: adult. Prep under 30 minutes.,Beef heart returns in a different combination — sweet potato replaces lentils for guardians who prefer grain-free carbs. The iron-rich heart with iron-rich spinach creates a potent combination for dogs needing mineral support.,6,6,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/beef_heart_sweet_potato_spinach.png
pork_shoulder_brown_rice_bok_choy,Pork Shoulder & Brown Rice with Bok Choy,pork,brown_rice,bok_choy,stovetop,T1,35,adult,"Create a T1 stovetop recipe using Pork shoulder/butt, Beef liver with Brown rice and Bok choy. Target life stage: adult. Prep under 35 minutes.","Pork shoulder's higher fat content makes it great for active dogs who need more calories. Brown rice adds manganese and fiber. Bok choy provides calcium, vitamin K, and potassium with a mild flavor.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/pork_shoulder_brown_rice_bok_choy.png
turkey_white_rice_zucchini_peas,Turkey & White Rice with Zucchini & Peas,turkey,white_rice,zucchini_and_peas,stovetop,T1,20,adult,"Create a T1 stovetop recipe using Ground turkey, 93% lean, Chicken liver with White rice and Zucchini. Target life stage: adult. Prep under 20 minutes.","A gentle, highly digestible recipe. White rice is the easiest grain on the stomach. Zucchini and peas together provide fiber without being harsh. Turkey is lean with good selenium. Perfect for recovery days or sensitive stomachs.",8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/turkey_white_rice_zucchini_peas.png
venison_sweet_potato_kale,Venison & Sweet Potato with Kale,venison,sweet_potato,kale,stovetop,T2,30,adult,"Create a T2 stovetop recipe using Ground venison, Beef liver with Sweet potato and Kale. Target life stage: adult. Prep under 30 minutes.","A premium novel-protein recipe. Venison with sweet potato and kale creates an iron-rich, vitamin-dense meal. The deep green of kale combined with sweet potato covers a huge spectrum from vitamin A to vitamin K.",8,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/venison_sweet_potato_kale.png
sardine_quinoa_broccoli,Sardine & Quinoa with Broccoli,fish,quinoa,broccoli,stovetop,T1,20,adult,"Create a T1 stovetop recipe using Sardines, canned in water (with bones), Chicken liver with Quinoa and Broccoli. Target life stage: adult. Prep under 20 minutes.","Sardines deliver calcium, omega-3, vitamin D, and selenium in a single ingredient. Quinoa adds complete protein and manganese. Broccoli provides vitamin K and E. No separate calcium supplement needed — the sardine bones handle it.",6,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/sardine_quinoa_broccoli.png
beef_chuck_lentils_carrots,Beef Chuck & Lentils with Carrots,beef,lentils,carrots,stovetop,T1,35,adult,"Create a T1 stovetop recipe using Beef chuck roast, Beef liver with Lentils (green or brown) and Carrots. Target life stage: adult. Prep under 35 minutes.","A rustic, stew-like recipe. Beef chuck's fat renders nicely into lentils. Lentils contribute iron, fiber, and plant protein. Carrots add vitamin A and sweetness. Economical and nutrient-dense.",7,7,https://zrlplilzpwsxqxskeoqc.supabase.co/storage/v1/object/public/recipe-images/beef_chuck_lentils_carrots.png
